# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	0.395238	0.00827346	0	0	115566
1	-2.353181	0.00858771	0	0	116326
2	-1.805072	0.00766713	0	0	116515
3	-0.885503	0.00810093	0	0	116528
4	2.487808	0.00834256	0	0	115673
5	-2.067203	0.00758332	0	0	116009
6	-0.523472	0.00783237	0	0	114280
7	1.888628	0.00759246	0	0	116160
8	-0.704565	0.0073226	0	0	116417
9	0.311028	0.0072221	0	0	116589
10	1.294998	0.0073688	0	0	116503
11	0.821748	0.00716854	0	0	116436
12	-1.079995	0.00789021	0	0	116472
13	-0.144102	0.00731824	0	0	116074
14	-2.528572	0.00769415	0	0	115937
15	-0.213572	0.00741262	0	0	116497
16	0.242998	0.0071238	0	0	115698
17	-1.342185	0.00702575	0	0	116479
18	1.605448	0.00703041	0	0	116450
19	-0.664408	0.00721508	0	0	116397
20	-0.710283	0.00817164	0	0	115573
21	-0.061352	0.00793826	0	0	116357
22	-0.441241	0.00772788	0	0	115416
23	-0.744605	0.00776871	0	0	116380
24	-1.725264	0.00910215	0	0	115759
25	-1.849695	0.00793433	0	0	115628
26	0.000000	0	0	0	0
27	-1.583416	0.00776371	0	0	114294
28	-0.664163	0.00765389	0	0	116079
29	0.000000	0	0	0	0
30	1.447328	0.00715782	0	0	116547
31	2.353158	0.00743102	0	0	115869
32	1.663158	0.00742701	0	0	116475
33	0.503178	0.00762062	0	0	116247
34	0.037808	0.0081574	0	0	116495
35	2.193548	0.00805953	0	0	116060
36	0.270308	0.00796364	0	0	116200
37	-0.388462	0.00808944	0	0	116348
38	0.000000	0	0	0	0
39	2.053608	0.00768288	0	0	116220
40	0.223998	0.00714629	0	0	115906
41	0.875608	0.00733051	0	0	116216
42	2.721738	0.00707974	0	0	116473
43	1.728748	0.00743169	0	0	116384
44	-1.113245	0.00760828	0	0	116521
45	-0.389802	0.00718378	0	0	116582
46	-0.353932	0.00722749	0	0	116590
47	-2.405453	0.00717219	0	0	115632
48	2.985448	0.00736454	0	0	116117
49	-0.702092	0.00713025	0	0	116007
50	1.472428	0.00720052	0	0	115655
51	-1.551629	0.00740727	0	0	116116
52	0.916588	0.00754983	0	0	114712
53	0.550658	0.00722774	0	0	116475
54	0.000000	0	0	0	0
55	-1.083412	0.00769569	0	0	115559
56	1.194018	0.00789116	0	0	116449
57	-1.121390	0.00790654	0	0	115842
58	-1.671472	0.00800659	0	0	116139
59	0.633508	0.00799217	0	0	116352
