# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	1.823810	0.00827346	0	0	115566
1	-0.924609	0.00858771	0	0	116326
2	-16.376500	0.00766713	0	0	116515
3	0.543069	0.00810093	0	0	116528
4	3.916380	0.00834256	0	0	115673
5	-0.638631	0.00758332	0	0	116009
6	-15.094900	0.00783237	0	0	114280
7	-12.682800	0.00759246	0	0	116160
8	0.724007	0.0073226	0	0	116417
9	-14.260400	0.0072221	0	0	116589
10	2.723570	0.0073688	0	0	116503
11	2.250320	0.00716854	0	0	116436
12	0.348577	0.00789021	0	0	116472
13	1.284470	0.00731824	0	0	116074
14	-1.100000	0.00769415	0	0	115937
15	1.215000	0.00741262	0	0	116497
16	1.671570	0.0071238	0	0	115698
17	0.086387	0.00702575	0	0	116479
18	3.034020	0.00703041	0	0	116450
19	0.764164	0.00721508	0	0	116397
20	0.718289	0.00817164	0	0	115573
21	1.367220	0.00793826	0	0	116357
22	0.987331	0.00772788	0	0	115416
23	0.683967	0.00776871	0	0	116380
24	-0.296692	0.00910215	0	0	115759
25	-0.421123	0.00793433	0	0	115628
26	0.000000	0	0	0	0
27	-0.154844	0.00776371	0	0	114294
28	0.764409	0.00765389	0	0	116079
29	0.000000	0	0	0	0
30	2.875900	0.00715782	0	0	116547
31	3.781730	0.00743102	0	0	115869
32	3.091730	0.00742701	0	0	116475
33	1.931750	0.00762062	0	0	116247
34	1.466380	0.0081574	0	0	116495
35	3.622120	0.00805953	0	0	116060
36	1.698880	0.00796364	0	0	116200
37	1.040110	0.00808944	0	0	116348
38	0.000000	0	0	0	0
39	3.482180	0.00768288	0	0	116220
40	1.652570	0.00714629	0	0	115906
41	2.304180	0.00733051	0	0	116216
42	4.150310	0.00707974	0	0	116473
43	3.157320	0.00743169	0	0	116384
44	0.315327	0.00760828	0	0	116521
45	1.038770	0.00718378	0	0	116582
46	1.074640	0.00722749	0	0	116590
47	-0.976881	0.00717219	0	0	115632
48	4.414020	0.00736454	0	0	116117
49	0.726480	0.00713025	0	0	116007
50	2.901000	0.00720052	0	0	115655
51	-0.123057	0.00740727	0	0	116116
52	2.345160	0.00754983	0	0	114712
53	1.979230	0.00722774	0	0	116475
54	0.000000	0	0	0	0
55	0.345160	0.00769569	0	0	115559
56	2.622590	0.00789116	0	0	116449
57	0.307182	0.00790654	0	0	115842
58	-16.242900	0.00800659	0	0	116139
59	2.062080	0.00799217	0	0	116352
