# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	-3.319048	0.00827346	0	0	115566
1	-6.067467	0.00858771	0	0	116326
2	-5.519358	0.00766713	0	0	116515
3	11.400211	0.00810093	0	0	116528
4	-1.226478	0.00834256	0	0	115673
5	10.218511	0.00758332	0	0	116009
6	-4.237758	0.00783237	0	0	114280
7	-1.825658	0.00759246	0	0	116160
8	-4.418851	0.0073226	0	0	116417
9	-3.403258	0.0072221	0	0	116589
10	-2.419288	0.0073688	0	0	116503
11	-2.892538	0.00716854	0	0	116436
12	-4.794281	0.00789021	0	0	116472
13	-3.858388	0.00731824	0	0	116074
14	9.757142	0.00769415	0	0	115937
15	-3.927858	0.00741262	0	0	116497
16	-3.471288	0.0071238	0	0	115698
17	-5.056471	0.00702575	0	0	116479
18	-2.108838	0.00703041	0	0	116450
19	11.621306	0.00721508	0	0	116397
20	-4.424569	0.00817164	0	0	115573
21	-3.775638	0.00793826	0	0	116357
22	11.844473	0.00772788	0	0	115416
23	-4.458891	0.00776871	0	0	116380
24	-5.439550	0.00910215	0	0	115759
25	-5.563981	0.00793433	0	0	115628
26	0.000000	0	0	0	0
27	10.702298	0.00776371	0	0	114294
28	-4.378449	0.00765389	0	0	116079
29	0.000000	0	0	0	0
30	13.733042	0.00715782	0	0	116547
31	-1.361128	0.00743102	0	0	115869
32	-2.051128	0.00742701	0	0	116475
33	-3.211108	0.00762062	0	0	116247
34	-3.676478	0.0081574	0	0	116495
35	14.479262	0.00805953	0	0	116060
36	-3.443978	0.00796364	0	0	116200
37	-4.102748	0.00808944	0	0	116348
38	0.000000	0	0	0	0
39	-1.660678	0.00768288	0	0	116220
40	12.509712	0.00714629	0	0	115906
41	-2.838678	0.00733051	0	0	116216
42	-0.992548	0.00707974	0	0	116473
43	14.014462	0.00743169	0	0	116384
44	-4.827531	0.00760828	0	0	116521
45	-4.104088	0.00718378	0	0	116582
46	11.931782	0.00722749	0	0	116590
47	-6.119739	0.00717219	0	0	115632
48	-0.728838	0.00736454	0	0	116117
49	-4.416378	0.00713025	0	0	116007
50	-2.241858	0.00720052	0	0	115655
51	-5.265915	0.00740727	0	0	116116
52	13.202302	0.00754983	0	0	114712
53	-3.163628	0.00722774	0	0	116475
54	0.000000	0	0	0	0
55	-4.797698	0.00769569	0	0	115559
56	-2.520268	0.00789116	0	0	116449
57	-4.835676	0.00790654	0	0	115842
58	-5.385758	0.00800659	0	0	116139
59	12.919222	0.00799217	0	0	116352
