# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	8.395238	0.00827346	0	0	115566
1	-10.353181	0.00858771	0	0	116326
2	-9.805072	0.00766713	0	0	116515
3	7.114497	0.00810093	0	0	116528
4	10.487808	0.00834256	0	0	115673
5	5.932797	0.00758332	0	0	116009
6	-8.523472	0.00783237	0	0	114280
7	-6.111372	0.00759246	0	0	116160
8	-8.704565	0.0073226	0	0	116417
9	-7.688972	0.0072221	0	0	116589
10	9.294998	0.0073688	0	0	116503
11	-7.178252	0.00716854	0	0	116436
12	6.920005	0.00789021	0	0	116472
13	-8.144102	0.00731824	0	0	116074
14	5.471428	0.00769415	0	0	115937
15	-8.213572	0.00741262	0	0	116497
16	8.242998	0.0071238	0	0	115698
17	-9.342185	0.00702575	0	0	116479
18	-6.394552	0.00703041	0	0	116450
19	7.335592	0.00721508	0	0	116397
20	7.289717	0.00817164	0	0	115573
21	-8.061352	0.00793826	0	0	116357
22	7.558759	0.00772788	0	0	115416
23	-8.744605	0.00776871	0	0	116380
24	6.274736	0.00910215	0	0	115759
25	-9.849695	0.00793433	0	0	115628
26	0.000000	0	0	0	0
27	6.416584	0.00776371	0	0	114294
28	7.335837	0.00765389	0	0	116079
29	0.000000	0	0	0	0
30	9.447328	0.00715782	0	0	116547
31	-5.646842	0.00743102	0	0	115869
32	9.663158	0.00742701	0	0	116475
33	-7.496822	0.00762062	0	0	116247
34	-7.962192	0.0081574	0	0	116495
35	10.193548	0.00805953	0	0	116060
36	8.270308	0.00796364	0	0	116200
37	-8.388462	0.00808944	0	0	116348
38	0.000000	0	0	0	0
39	-5.946392	0.00768288	0	0	116220
40	8.223998	0.00714629	0	0	115906
41	-7.124392	0.00733051	0	0	116216
42	10.721738	0.00707974	0	0	116473
43	9.728748	0.00743169	0	0	116384
44	6.886755	0.00760828	0	0	116521
45	-8.389802	0.00718378	0	0	116582
46	7.646068	0.00722749	0	0	116590
47	-10.405453	0.00717219	0	0	115632
48	10.985448	0.00736454	0	0	116117
49	-8.702092	0.00713025	0	0	116007
50	-6.527572	0.00720052	0	0	115655
51	-9.551629	0.00740727	0	0	116116
52	8.916588	0.00754983	0	0	114712
53	8.550658	0.00722774	0	0	116475
54	0.000000	0	0	0	0
55	-9.083412	0.00769569	0	0	115559
56	9.194018	0.00789116	0	0	116449
57	-9.121390	0.00790654	0	0	115842
58	-9.671472	0.00800659	0	0	116139
59	8.633508	0.00799217	0	0	116352
