# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	10.395238	0.00827346	0	0	115566
1	-8.353181	0.00858771	0	0	116326
2	-7.805072	0.00766713	0	0	116515
3	9.114497	0.00810093	0	0	116528
4	-3.512192	0.00834256	0	0	115673
5	7.932797	0.00758332	0	0	116009
6	-6.523472	0.00783237	0	0	114280
7	-4.111372	0.00759246	0	0	116160
8	-6.704565	0.0073226	0	0	116417
9	-5.688972	0.0072221	0	0	116589
10	11.294998	0.0073688	0	0	116503
11	-5.178252	0.00716854	0	0	116436
12	-7.079995	0.00789021	0	0	116472
13	-6.144102	0.00731824	0	0	116074
14	7.471428	0.00769415	0	0	115937
15	-6.213572	0.00741262	0	0	116497
16	10.242998	0.0071238	0	0	115698
17	-7.342185	0.00702575	0	0	116479
18	-4.394552	0.00703041	0	0	116450
19	9.335592	0.00721508	0	0	116397
20	-6.710283	0.00817164	0	0	115573
21	-6.061352	0.00793826	0	0	116357
22	9.558759	0.00772788	0	0	115416
23	-6.744605	0.00776871	0	0	116380
24	8.274736	0.00910215	0	0	115759
25	-7.849695	0.00793433	0	0	115628
26	0.000000	0	0	0	0
27	8.416584	0.00776371	0	0	114294
28	-6.664163	0.00765389	0	0	116079
29	0.000000	0	0	0	0
30	11.447328	0.00715782	0	0	116547
31	-3.646842	0.00743102	0	0	115869
32	11.663158	0.00742701	0	0	116475
33	-5.496822	0.00762062	0	0	116247
34	-5.962192	0.0081574	0	0	116495
35	12.193548	0.00805953	0	0	116060
36	-5.729692	0.00796364	0	0	116200
37	-6.388462	0.00808944	0	0	116348
38	0.000000	0	0	0	0
39	-3.946392	0.00768288	0	0	116220
40	10.223998	0.00714629	0	0	115906
41	-5.124392	0.00733051	0	0	116216
42	-3.278262	0.00707974	0	0	116473
43	11.728748	0.00743169	0	0	116384
44	-7.113245	0.00760828	0	0	116521
45	-6.389802	0.00718378	0	0	116582
46	9.646068	0.00722749	0	0	116590
47	-8.405453	0.00717219	0	0	115632
48	12.985448	0.00736454	0	0	116117
49	-6.702092	0.00713025	0	0	116007
50	-4.527572	0.00720052	0	0	115655
51	-7.551629	0.00740727	0	0	116116
52	10.916588	0.00754983	0	0	114712
53	10.550658	0.00722774	0	0	116475
54	0.000000	0	0	0	0
55	-7.083412	0.00769569	0	0	115559
56	11.194018	0.00789116	0	0	116449
57	-7.121390	0.00790654	0	0	115842
58	-7.671472	0.00800659	0	0	116139
59	10.633508	0.00799217	0	0	116352
