# Weighted averages of adjusted means after calibration
# Channel Weighted_Adjusted_Mean Weighted_Error Sum_Entries Number_of_Runs
0	0.3663	0.0001	77266666	520
1	-2.2680	0.0001	64359223	520
2	-1.5894	0.0001	61430223	520
3	-0.7210	0.0001	84159267	520
4	2.5093	0.0001	92344229	520
5	-1.7124	0.0001	102110186	520
6	0.1623	0.0001	88642322	520
7	2.2765	0.0001	98076628	520
8	0.5617	0.0001	108198698	520
9	1.0759	0.0001	59386229	520
10	1.3478	0.0001	98713912	520
11	1.4855	0.0001	113600157	520
12	-0.7593	0.0001	91307461	520
13	0.1386	0.0001	120155019	520
14	-1.6503	0.0001	102144617	520
15	0.5349	0.0001	96489139	520
16	1.0444	0.0001	120652122	520
17	-0.3391	0.0001	111968166	520
18	2.4464	0.0001	105002350	520
19	-0.0615	0.0001	89770518	520
20	-0.9735	0.0001	79887214	520
21	-0.9311	0.0001	61151018	520
22	-1.1380	0.0001	71463515	520
23	-1.5006	0.0002	40676459	520
24	-1.7859	0.0001	81585313	520
25	-1.8518	0.0001	92310539	520
26	0	0	0	0
27	-1.0551	0.0001	59397454	520
28	-0.2801	0.0001	71444100	520
29	0	0	0	0
30	0.7236	0.0001	83584013	520
31	1.8614	0.0001	81495259	520
32	0.7625	0.0001	90809081	520
33	-0.0931	0.0001	65691959	520
34	-0.3448	0.0001	49871556	520
35	2.0424	0.0001	93782549	520
36	-0.2625	0.0001	84597244	520
37	-0.3126	0.0001	66308298	520
38	0	0	0	0
39	1.7109	0.0001	77569414	520
40	-0.0413	0.0001	107004336	520
41	0.4882	0.0001	90464209	520
42	2.2177	0.0001	109715518	520
43	1.6531	0.0001	103965920	520
44	-1.3321	0.0001	76268991	520
45	-0.5965	0.0001	80073735	520
46	-0.3716	0.0001	71891637	520
47	-1.5190	0.0001	110147569	520
48	3.2102	0.0001	97709995	520
49	-0.8518	0.0001	101466216	520
50	1.8221	0.0001	94057773	520
51	-1.0343	0.0001	98179280	520
52	0.9664	0.0001	106789793	520
53	0.4120	0.0001	105834276	520
54	0	0	0	0
55	-1.4498	0.0001	87480735	520
56	0.3315	0.0001	82726635	520
57	-2.0166	0.0001	61804414	520
58	-2.4624	0.0001	84709319	520
